Date,Log M4 including Treasuries,Log Total Assets,Effective Federal Funds Rate (%),Log Currency in Circulation ($ Bil),Log Nominal GDP (Bln),Unemployment Rate,Inflation Rate
12/31/2018,7.36,15.22,2.27,7.44,0.00,3.9,1.92
1/31/2019,7.36,15.21,2.4,7.44,16.86,4,1.5
2/28/2019,7.37,15.2,2.4,7.44,0.00,3.8,1.47
3/31/2019,7.37,15.19,2.41,7.45,0.00,3.8,1.86
4/30/2019,7.38,15.19,2.42,7.45,16.87,3.7,2.02
5/31/2019,7.38,15.17,2.39,7.46,0.00,3.7,1.83
6/30/2019,7.39,15.16,2.38,7.46,0.00,3.6,1.7
7/31/2019,7.39,15.15,2.4,7.47,16.88,3.6,1.82
8/31/2019,7.4,15.14,2.13,7.47,0.00,3.7,1.74
9/30/2019,7.4,15.15,2.04,7.47,0.00,3.5,1.72
10/31/2019,7.41,15.19,1.83,7.48,16.89,3.6,1.77
11/30/2019,7.42,15.21,1.55,7.49,0.00,3.6,2.04
12/31/2019,7.42,15.23,1.55,7.49,0.00,3.6,2.26
