DATE,FFR,TA,CC,M4,NGDP
2004-12,1.426129033,0.016904479999997335,-0.006413099999999616,0.03154441000000219,0.0
2005-01,1.5203225809999998,0.012749869999996832,0.0004915499999995632,0.02594277000000389,0.0034737199999987922
2005-02,1.7494458129999997,0.016557720000001552,0.002775529999997417,0.02150893000000309,0.0
2005-03,1.8787096779999999,0.01714587000000023,0.008395799999998843,0.00948960999999926,0.0
2005-04,2.035,0.019288589999998607,0.007823240000000453,0.004140979999998962,-0.003614089999999237
2005-05,2.252580645,0.02175597000000451,0.005472529999998699,0.007540349999999307,0.0
2005-06,2.207,0.01088702999999569,-0.0034724100000005365,0.004906469999998109,0.0
2005-07,1.7467741940000001,0.003978559999996634,-0.018061499999998176,0.00967007999999936,0.003928390000002224
2005-08,1.669999999,0.014680330000000907,-0.017518429999999086,0.006411709999994741,0.0
2005-09,1.4230000000000003,-0.01352697999999819,-0.016792240000004455,-0.0054525999999945896,0.0
2005-10,1.2674193549999997,-0.015485599999998101,-0.018568810000001434,-0.000655299999998249,-0.0004808499999953142
2005-11,1.1310000000000002,-0.03216440000000276,-0.018589839999997082,0.00014730999999912342,0.0
2005-12,0.8290322580000002,-0.024995740000001376,-0.011670849999998012,-0.015982240000003145,0.0
2006-01,0.723548386,-0.02437181999999538,-0.0021331199999998773,-0.0025659000000040066,-0.005257409999998686
2006-02,0.4950985220000004,-0.019696040000003023,-0.005188709999998764,-0.00020657000000312564,0.0
2006-03,0.3329032260000002,-0.016162710000003244,-0.0042597099999994725,0.005914960000001912,0.0
2006-04,0.22433333300000013,-0.011027289999997691,-0.0023954699999961804,0.007096999999998133,-0.002412310000000417
2006-05,-0.060322580000000015,-0.009773550000002018,0.005000080000002072,0.0033104999999977736,0.0
2006-06,-0.054666667000000224,-0.012863559999996,-0.0010160100000007333,0.007068960000001567,0.0
2006-07,-0.026451613000000096,-0.011457450000001757,0.0023965900000000318,0.008139710000001799,-0.011951690000003623
2006-08,-0.3235483860000006,-0.02027212000000489,0.0005072099999985369,0.003165470000002557,0.0
2006-09,-0.38633333300000006,-0.014340840000002686,-0.005603609999994319,0.002474519999996261,0.0
2006-10,-0.5525806459999991,-0.0018944100000020114,-0.004685050000002633,-0.005668150000001759,-0.00938201000000305
2006-11,-0.8203333330000002,0.004349550000004143,-0.003949650000002691,-0.00769830999999499,0.0
2006-12,-0.9200000000000008,-0.011035119999998955,-0.006333040000001233,0.002449830000003317,0.0
2007-01,-1.0425806439999992,-0.0067104100000001665,-0.020059149999998027,-0.005636519999995926,-0.01878638999999893
2007-02,-1.2221428570000001,-0.0013908399999955634,-0.020443480000000847,-0.004286519999997296,0.0
2007-03,-1.2929032260000004,-0.009285049999999018,-0.025965660000000668,-0.001601829999998472,0.0
2007-04,-1.545999999000001,-0.00782446000000192,-0.026486700000003083,0.005911600000001016,-0.016220790000001983
2007-05,-1.62451613,-0.006423200000000406,-0.0328827500000024,0.0078079200000011895,0.0
2007-06,-1.6923333329999997,-0.01554112000000174,-0.023236849999999976,0.008535940000001574,0.0
2007-07,-1.9493548379999996,-0.01015747999999661,-0.017867480000003155,0.006037589999998261,-0.005060749999998393
2007-08,-1.9709677419999991,-0.008580339999994635,-0.016277399999996334,0.00981388000000294,0.0
2007-09,-1.9483333340000009,0.011405050000004024,-0.012260990000005023,0.014815689999998938,0.0
2007-10,-1.955483870000001,-0.003664109999998999,-0.008128859999995797,0.01898528999999982,-0.005304569999999842
2007-11,-2.0056666670000003,-0.005876880000002416,-0.009076209999999918,0.016102559999996657,0.0
2007-12,-2.074516128999999,-0.00031946999999732384,-0.01917811999999941,0.009421569999997104,0.0
2008-01,-2.2712903230000006,0.009092479999996073,-0.017131310000003452,0.014689369999995705,-0.010386910000001137
2008-02,-3.0457389160000004,-0.02274642000000071,-0.013935699999997553,0.02281570999999971,0.0
2008-03,-3.313870968,-0.01010804999999948,-0.009148389999996454,0.030568569999996242,0.0
2008-04,-3.430666667999999,-0.012105259999998452,-0.013423020000001173,0.007839720000003325,-0.014401140000000368
2008-05,-3.588387096000001,-0.018295630000000784,-0.008887299999997822,0.012652560000002921,0.0
2008-06,-3.5159999999999996,0.007234759999999341,-0.006527809999997913,0.007486129999996649,0.0
2008-07,-3.271935485,0.01197519999999841,-0.004657699999995657,0.006861210000000284,-0.026085710000000262
2008-08,-2.801612904,0.0172626799999982,0.0002845099999966294,0.0004422999999960098,0.0
2008-09,-2.809666665999999,0.09876479999999788,0.005087450000001326,0.013425810000001093,0.0
2008-10,-3.2964516129999994,0.6441291000000007,0.018381189999999492,0.030613039999998648,-0.054280020000000206
2008-11,-3.339999999999999,0.8514916000000028,0.028687510000001026,0.01743966999999813,0.0
2008-12,-3.0958064520000006,0.8936683199999962,0.054390269999998964,0.012461300000001785,0.0
2009-01,-2.4780645170000004,0.7828562300000037,0.07036019000000238,0.011969220000004555,-0.05286894999999703
2009-02,-0.4803078819999995,0.7414870799999989,0.08219922999999696,-0.013052810000001358,0.0
2009-03,0.216774193,0.7772497900000026,0.08532802999999589,-0.03823387999999639,0.0
2009-04,0.8433333339999995,0.8515018599999991,0.09642567000000213,-0.027694330000002765,-0.0648161399999978
2009-05,1.4741935480000008,0.8514201700000008,0.091963149999998,-0.029026120000004596,0.0
2009-06,1.4583333329999997,0.799788000000003,0.08365085999999877,-0.024751179999999096,0.0
2009-07,1.394838711,0.763118930000001,0.0729959299999976,-0.04160933,-0.05341025999999971
2009-08,1.1896774199999998,0.7649501399999963,0.06937668999999858,-0.04304861999999687,0.0
