Date,M4 Growth Rate,TA,CC,
5/31/2017,4.45%,-0.001547193,6.333699688,-0.892665495
6/30/2017,3.82%,-0.002190337,6.686474039,-1.061595672
7/31/2017,4.11%,-0.003549887,6.855289101,-0.815379536
8/31/2017,4.20%,-0.003943384,6.493412707,-0.901463501
9/30/2017,4.88%,-0.004054864,6.24174689,-1.099896862
10/31/2017,5.07%,-0.007940728,6.064394949,-0.84236148
11/30/2017,4.96%,-0.007043885,6.097601481,-0.546663415
12/31/2017,4.95%,-0.005842051,5.958186595,-0.519441513
1/31/2018,4.97%,-0.007811135,6.155759284,-0.499787461
2/28/2018,4.99%,-0.006113905,5.88880356,-0.372836228
3/31/2018,5.10%,-0.003849369,6.280441897,-0.254522988
4/30/2018,4.56%,-0.002231707,6.564567289,-0.24850999
5/31/2018,4.56%,-0.000920587,6.696476045,-0.280618992
6/30/2018,4.79%,-3.79E-05,6.703503341,-0.182453787
7/31/2018,4.80%,-0.000677371,6.757995999,-0.260024187
8/31/2018,4.52%,-0.000848395,6.893724042,-0.405176421
9/30/2018,4.04%,-0.001521208,7.348767216,-0.263221036
10/31/2018,3.89%,0.000665067,7.280980979,-0.133134846
11/30/2018,3.54%,-0.000985952,6.959222723,-0.131927828
12/31/2018,4.12%,-0.003032881,7.015667906,-0.087970518
1/31/2019,4.28%,-0.003795478,7.095796747,-0.072211146
2/28/2019,4.49%,-0.00969109,7.418711834,-0.056354242
3/31/2019,4.47%,-0.015192114,6.935868382,0.006857353
4/30/2019,4.55%,-0.021216751,6.526797328,0.000151903
5/31/2019,4.65%,-0.028009927,6.634675207,0.051604926
6/30/2019,4.79%,-0.034169904,6.819787492,0.004514261
7/31/2019,4.95%,-0.040607153,6.813308652,0.055669035
8/31/2019,5.37%,-0.0503992,6.792346611,0.040663781
9/30/2019,5.82%,-0.057100486,6.793374053,0.091552564
10/31/2019,6.49%,-0.066036229,6.749823979,0.035108019
11/30/2019,7.22%,-0.073608879,6.875795867,0.043580072
12/31/2019,6.72%,-0.081623414,6.378617109,0.013209468
